utc_time;AUT;BEL;BGR;BIH;CHE;CYP;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HRV;HUN;IRL;ITA;LTU;LUX;LVA;MLT;NLD;NOR;POL;PRT;ROU;SRB;SVK;SVN;SWE
2015-04-11T20:00:00Z;8104.452871;20588.904676;4088.954359;1604.374455;12188.199570;777.843631;7026.187805;93579.489387;7396.217807;23412.752109;1411.661201;9496.634194;70656.689580;72282.893271;9312.174851;2931.428714;6986.629874;5904.736921;38440.074579;1425.690342;910.986370;1746.134130;78.530304;26264.853618;8732.327740;16312.959566;2753.790957;9427.063579;2743.546189;3991.137942;1447.248115;9086.584600
2015-04-11T21:00:00Z;8462.963132;22327.727897;4208.176186;1689.592813;12466.389779;813.803093;7641.407061;101646.938246;7786.967695;23741.136971;1451.900336;9596.014382;74624.052451;74557.904921;9568.613337;3269.521349;7233.230900;5975.331800;40043.444650;1438.615460;1065.038922;1738.372340;80.946449;26661.411399;8871.060610;17760.941900;2903.531373;9881.400266;2780.287265;3998.247096;1502.303829;9441.718994
2015-04-11T22:00:00Z;8580.521950;22369.293192;4302.809634;1786.946542;13027.170446;839.215553;8196.879495;108723.212916;8083.673376;24179.855165;1463.959458;9609.780221;77144.432015;76814.992785;9847.832827;3497.183821;7416.813124;6035.686929;41057.254484;1489.353263;1239.556220;1646.989402;82.191382;26959.171108;8948.567620;18945.897239;3010.721693;10235.354082;2957.641586;4056.497741;1579.328510;9698.173025
2015-04-11T23:00:00Z;8779.820255;21868.517733;4367.618157;1879.870031;13428.548883;858.178872;8680.784490;118132.893229;8361.743916;25848.660407;1464.715576;9713.759175;79516.683516;79163.479383;10073.192649;3633.947335;7554.325335;6073.678344;41720.505136;1539.909818;1505.065342;1632.753236;84.009381;27043.400297;9078.014300;20315.330595;3154.742036;10482.747747;3230.649995;4120.453478;1625.474356;10014.585194
2015-04-12T00:00:00Z;9086.009589;21883.560141;4436.938128;1966.613930;13649.789260;874.781933;8836.577867;124755.765354;8573.482737;27443.249668;1451.545282;9771.705520;81367.685737;81022.133087;10223.723948;3730.011818;7702.051050;6072.770176;42518.069550;1595.303899;1646.116967;1630.204752;85.304476;27006.993487;9186.492067;21570.525183;3297.283952;10695.763198;3304.632622;4152.674058;1649.832277;10291.702153
2015-04-12T01:00:00Z;8965.848127;22701.754302;4583.955570;2065.202943;14525.601113;892.606427;7957.081526;126563.420370;8585.689209;27340.870805;1370.839741;9616.961870;87771.593302;81407.695484;10534.704949;3585.469050;7693.596319;5851.315592;44127.493054;1681.356630;1752.455292;1660.982655;95.042016;26514.718002;9304.865434;21810.819548;3461.081002;11171.071832;3040.961585;3874.114415;1665.851882;10483.668596
2015-04-12T02:00:00Z;9465.025128;23344.113651;4685.315419;2127.463164;14610.460260;894.310402;8449.916355;133528.026191;8725.806017;27671.964710;1360.685811;9668.935598;91017.018094;82024.845198;10664.170001;3674.685351;7916.581763;5889.456991;45317.181166;1724.259979;1753.786545;1702.401288;95.814210;26864.643908;9417.391688;23296.111220;3477.282426;11329.291513;3236.388415;4099.158495;1750.699673;10736.692861
2015-04-12T03:00:00Z;9934.787150;23740.197532;4741.646080;2132.784586;14159.929986;812.637143;8936.744491;138163.743765;8714.201357;28217.507933;1357.230666;9671.659406;92544.683574;82320.838608;10797.285943;3713.565465;8170.925684;5955.762695;46314.278919;1762.664529;1752.998005;1747.990155;96.910177;27074.040790;9640.059526;24702.310925;3435.436500;11509.293485;3461.813791;4236.515201;1808.166033;10907.358816
2015-04-12T04:00:00Z;10283.491342;24058.501339;4614.684097;2155.031346;13881.414211;727.688497;8958.989757;140231.080419;8686.510323;28556.276448;1340.868253;9543.271481;93788.081719;82970.087603;10916.264449;3752.784090;8260.241517;5982.820955;46952.152973;1752.626449;1619.869038;1737.692359;97.781934;27459.573739;9763.390739;25707.972880;3386.629708;11288.957328;3590.832691;4185.558993;1869.094890;11046.755010
2015-04-12T05:00:00Z;9911.781898;24467.420058;3021.426497;1907.803805;13771.252227;592.409140;8946.253509;139319.271192;8607.733006;28618.418608;1237.554548;9198.818602;96710.786222;83354.149867;8256.425019;3423.412589;7131.507154;6008.313577;44782.111410;1641.993498;1421.048016;1599.125579;98.777577;27855.817616;9827.984078;25868.564487;3354.775864;8020.251817;3344.428832;3749.830493;1791.025838;11172.135094
